n-gram,count
"('produxing', 'piece', 'deceiving')",1
"('piece', 'deceiving', 'reader')",1
"('deceiving', 'reader', 'prompted')",1
"('reader', 'prompted', 'role')",1
"('prompted', 'role', 'play')",1
"('role', 'play', 'essay')",1
"('play', 'essay', 'style')",1
"('essay', 'style', 'question')",1
"('style', 'question', 'way')",1
"('question', 'way', 'depends')",1
"('way', 'depends', 'people')",1
"('depends', 'people', 'taught')",1
"('people', 'taught', 'schools')",1
"('taught', 'schools', 'excessive')",1
"('schools', 'excessive', 'use')",1
"('excessive', 'use', 'adjectives')",1
"('use', 'adjectives', 'makes')",1
"('adjectives', 'makes', 'think')",1
"('makes', 'think', 'slightly')",1
"('think', 'slightly', 'leans')",1
"('slightly', 'leans', 'ai')",1
"('leans', 'ai', 'sounds')",1
"('like', 'ai', 'fed')",1
"('ai', 'fed', 'prompt')",1
"('fed', 'prompt', 'essay')",1
"('prompt', 'essay', 'like')",1
"('essay', 'like', 'answer')",1
"('like', 'answer', 'decentralisation')",1
"('answer', 'decentralisation', 'final')",1
"('decentralisation', 'final', 'argument')",1
"('final', 'argument', 'slightly')",1
"('argument', 'slightly', 'ai')",1
"('slightly', 'ai', 'perfect')",1
"('ai', 'perfect', 'eerily')",1
"('perfect', 'eerily', 'perfect')",1
"('eerily', 'perfect', 'sounds')",1
"('perfect', 'sounds', 'like')",1
"('ai', 'told', 'overexplain')",1
"('told', 'overexplain', 'waiver')",1
"('overexplain', 'waiver', 'role')",1
"('waiver', 'role', 'play')",1
"('role', 'play', 'bit')",1
"('play', 'bit', 'explanation')",1
"('bit', 'explanation', 'think')",1
"('explanation', 'think', 'particularly')",1
"('think', 'particularly', 'natural')",1
"('particularly', 'natural', 'write')",1
"('natural', 'write', 'human')",1
"('write', 'human', 'slightly')",1
"('human', 'slightly', 'leaning')",1
"('slightly', 'leaning', 'ai')",1
"('leaning', 'ai', 'second')",1
"('ai', 'second', 'option')",1
"('second', 'option', 'poorly')",1
"('option', 'poorly', 'written')",1
"('poorly', 'written', 'ai')",1
"('written', 'ai', 'repeat')",1
"('ai', 'repeat', 'word')",1
"('repeat', 'word', 'elderly')",1
"('word', 'elderly', 'times')",1
"('elderly', 'times', 'specifically')",1
"('times', 'specifically', 'instructed')",1
"('specifically', 'instructed', 'option')",1
"('instructed', 'option', 'poor')",1
"('option', 'poor', 'formatting')",1
"('poor', 'formatting', 'definitely')",1
"('formatting', 'definitely', 'clear')",1
"('definitely', 'clear', 'output')",1
"('clear', 'output', 'ai')",1
"('output', 'ai', 'ai')",1
"('ai', 'ai', 'generated')",1
"('ai', 'generated', 'ai')",1
"('generated', 'ai', 'nt')",1
"('ai', 'nt', 'pure')",1
"('nt', 'pure', 'ai')",1
"('pure', 'ai', 'told')",1
"('ai', 'told', 'use')",1
"('told', 'use', 'references')",1
"('use', 'references', 'provided')",1
"('references', 'provided', 'prompt')",1
"('provided', 'prompt', 'referencing')",1
"('prompt', 'referencing', 'random')",1
"('referencing', 'random', 'use')",1
"('random', 'use', 'second')",1
"('use', 'second', 'problrms')",1
"('second', 'problrms', 'sounds')",1
"('problrms', 'sounds', 'bit')",1
"('sounds', 'bit', 'dry')",1
"('bit', 'dry', 'jump')",1
"('dry', 'jump', 'description')",1
"('jump', 'description', 'person')",1
"('description', 'person', 'second')",1
"('person', 'second', 'sentence')",1
"('second', 'sentence', 'sentence')",1
"('sentence', 'sentence', 'smooth')",1
"('sentence', 'smooth', 'rhythm')",1
"('smooth', 'rhythm', 'flow')",1
"('rhythm', 'flow', 'issue')",1
"('flow', 'issue', 'sentence')",1
"('issue', 'sentence', 'natural')",1
"('sentence', 'natural', 'flow')",1
"('natural', 'flow', 'sequence')",1
"('flow', 'sequence', 'sentences')",1
"('sequence', 'sentences', 'logical')",1
"('sentences', 'logical', 'use')",1
"('logical', 'use', 'adverbs')",1
"('use', 'adverbs', 'linking')",1
"('adverbs', 'linking', 'words')",1
"('linking', 'words', 'closer')",1
"('words', 'closer', 'natural')",1
"('closer', 'natural', 'way')",1
"('natural', 'way', 'writing')",1
"('way', 'writing', 'naturally')",1
"('writing', 'naturally', 'reflects')",1
"('naturally', 'reflects', 'storytelling')",1
"('reflects', 'storytelling', 'person')",1
"('storytelling', 'person', 'telling')",1
"('person', 'telling', 'story')",1
"('telling', 'story', 'adventure')",1
"('story', 'adventure', 'chain')",1
"('adventure', 'chain', 'thoughts')",1
"('chain', 'thoughts', 'details')",1
"('thoughts', 'details', 'naturally')",1
"('details', 'naturally', 'follows')",1
"('naturally', 'follows', 'real')",1
"('follows', 'real', 'conversation')",1
"('real', 'conversation', 'pattern')",1
"('conversation', 'pattern', 'sounds')",1
"('pattern', 'sounds', 'human')",1
"('sounds', 'human', 'way')",1
"('human', 'way', 'presents')",1
"('way', 'presents', 'data')",1
"('presents', 'data', 'difficult')",1
"('data', 'difficult', 'grasp')",1
"('difficult', 'grasp', 'pulled')",1
"('grasp', 'pulled', 'sources')",1
"('pulled', 'sources', 'consolidated')",1
"('sources', 'consolidated', 'poorly')",1
"('consolidated', 'poorly', 'difficult')",1
"('poorly', 'difficult', 'read')",1
"('difficult', 'read', 'comprehend')",1
"('read', 'comprehend', 'punctuation')",1
"('comprehend', 'punctuation', 'correct')",1
"('punctuation', 'correct', 'sounds')",1
"('correct', 'sounds', 'human')",1
"('sounds', 'human', 'dry')",1
"('human', 'dry', 'collection')",1
"('dry', 'collection', 'statements')",1
"('collection', 'statements', 'sound')",1
"('statements', 'sound', 'human')",1
"('sound', 'human', 'states')",1
"('human', 'states', 'facts')",1
"('states', 'facts', 'slightly')",1
"('facts', 'slightly', 'colloquial')",1
"('slightly', 'colloquial', 'reporting')",1
"('colloquial', 'reporting', 'results')",1
"('reporting', 'results', 'sounds')",1
"('results', 'sounds', 'clumsy')",1
"('sounds', 'clumsy', 'flow')",1
"('clumsy', 'flow', 'expect')",1
"('flow', 'expect', 'human')",1
"('expect', 'human', 'writer')",1
"('human', 'writer', 'fluent')",1
"('writer', 'fluent', 'structure')",1
"('fluent', 'structure', 'sentences')",1
"('structure', 'sentences', 'sounds')",1
"('sentences', 'sounds', 'clumsy')",1
"('sounds', 'clumsy', 'chopped')",1
"('clumsy', 'chopped', 'like')",1
"('chopped', 'like', 'generated')",1
"('like', 'generated', 'piece')",1
"('generated', 'piece', 'piece')",1
"('piece', 'piece', 'thought')",1
"('piece', 'thought', 'human')",1
"('thought', 'human', 'likely')",1
"('human', 'likely', 'ai')",1
"('likely', 'ai', 'systematic')",1
"('ai', 'systematic', 'analyzation')",1
"('systematic', 'analyzation', 'open')",1
"('analyzation', 'open', 'comparison')",1
"('open', 'comparison', 'leaves')",1
"('comparison', 'leaves', 'room')",1
"('leaves', 'room', 'thought')",1
"('room', 'thought', 'reader')",1
